,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,727400.5468523693,0.0,727400.5468523693,727400.5468523693,13927.931382001489
1,754267.8695394708,0.0,754267.8695394708,754267.8695394708,14396.869624008688
2,847705.0441276766,0.0,847705.0441276766,847705.0441276766,16011.392219410563
3,831070.184837657,0.0,831070.184837657,831070.184837657,15725.736848136505
4,849904.4299390543,0.0,849904.4299390543,849904.4299390543,16049.051087413736
5,810641.7865577377,0.0,810641.7865577377,810641.7865577377,15373.86408996483
6,787312.2875396666,0.0,787312.2875396666,787312.2875396666,14970.605142230253
7,828012.0725654141,0.0,828012.0725654141,828012.0725654141,15673.048072043413
8,834062.4502436669,0.0,834062.4502436669,834062.4502436669,15777.052748784077
9,748350.4404494779,0.0,748350.4404494779,748350.4404494779,14293.592155926093
10,545974.1855483182,0.0,545974.1855483182,545974.1855483182,10700.958830698642
11,477427.73292793625,0.0,477427.73292793625,477427.73292793625,9451.928242233276
12,402562.6221808467,0.0,402562.6221808467,402562.6221808467,8066.347374678539
13,282672.02995881374,0.0,282672.02995881374,282672.02995881374,5794.954036272569
14,177338.96947293443,0.0,177338.96947293443,177338.96947293443,3732.384413500675
15,126827.0688671973,0.0,126827.0688671973,126827.0688671973,2713.3541884300657
16,107957.52886763046,0.0,107957.52886763046,107957.52886763046,2314.8731224780345
17,138364.98891271453,0.0,138364.98891271453,138364.98891271453,2897.4065417228608
18,171505.0919924604,0.0,171505.0919924604,171505.0919924604,3615.8048684020755
19,215572.50492182202,0.0,215572.50492182202,215572.50492182202,4489.539149174135
20,254784.1533040816,0.0,254784.1533040816,254784.1533040816,5255.67493087317
21,282491.267160818,0.0,282491.267160818,282491.267160818,5791.3579356953105
22,248864.81938464797,0.0,248864.81938464797,248864.81938464797,5140.625433251653
23,216076.84763078773,0.0,216076.84763078773,216076.84763078773,4499.428566586778
24,254105.27436375394,0.0,254105.27436375394,254105.27436375394,5242.459735532457
25,201158.5826106717,0.0,201158.5826106717,201158.5826106717,4205.292781307129
26,131116.48027917044,0.0,131116.48027917044,131116.48027917044,2800.778253799104
27,120105.62503884487,0.0,120105.62503884487,120105.62503884487,2575.631530045703
28,89801.67584806943,0.0,89801.67584806943,89801.67584806943,1926.9522318139336
29,80826.66950903181,0.0,80826.66950903181,80826.66950903181,1735.0892559981733
30,105059.32296698776,0.0,105059.32296698776,105059.32296698776,2168.5579210621545
31,110606.89769681983,0.0,110606.89769681983,110606.89769681983,2358.373573935322
32,90355.87855027457,0.0,90355.87855027457,90355.87855027457,1938.3417373259147
33,90889.74701614317,0.0,90889.74701614317,90889.74701614317,1949.3084222212283
34,60601.93519756615,0.0,60601.93519756615,60601.93519756615,1300.94518647644
35,75950.55915310541,0.0,75950.55915310541,75950.55915310541,1582.2274986732434
36,80708.04223993317,0.0,80708.04223993317,80708.04223993317,1703.7707343448062
37,136747.1041855119,0.0,136747.1041855119,136747.1041855119,2764.357444477484
38,169291.6641252866,0.0,169291.6641252866,169291.6641252866,3571.215656632895
39,260352.85192457648,0.0,260352.85192457648,260352.85192457648,5363.267181327503
40,348724.8664584794,0.0,348724.8664584794,348724.8664584794,7054.451622316886
41,571702.2717538357,0.0,571702.2717538357,571702.2717538357,11164.178247596848
42,678443.0952500679,0.0,678443.0952500679,678443.0952500679,13066.232210950151
43,893538.8758098853,0.0,893538.8758098853,893538.8758098853,16792.635164781164
44,843622.7016838448,0.0,843622.7016838448,843622.7016838448,15939.585526802442
45,899425.1981137996,0.0,899425.1981137996,899425.1981137996,16892.73390517643
46,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19205.592488742644
47,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19205.563555207747
48,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19205.534621665694
49,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19205.5056881165
50,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19205.476754560146
51,980521.7351740431,0.0,980521.7351740431,980521.7351740431,18263.132894005324
52,762930.8608290947,0.0,762930.8608290947,762930.8608290947,14545.769011978864
53,661286.8540503237,0.0,661286.8540503237,661286.8540503237,12762.822298857836
