,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,46569.920783298854,0.0,46569.920783298854,46569.920783298854,997.7455413451893
1,64769.78255167829,0.0,64769.78255167829,64769.78255167829,1317.8911031717219
2,169148.85788270988,0.0,169148.85788270988,169148.85788270988,3346.146442464141
3,210952.6467128267,0.0,210952.6467128267,210952.6467128267,4340.619293112632
4,231411.18597335005,0.0,231411.18597335005,231411.18597335005,4734.897254160195
5,256121.6376449427,0.0,256121.6376449427,256121.6376449427,5207.275090809481
6,277451.8270203207,0.0,277451.8270203207,277451.8270203207,5611.9067687578
7,347441.6832760989,0.0,347441.6832760989,347441.6832760989,6921.058419138592
8,388279.22107988154,0.0,388279.22107988154,388279.22107988154,7672.889328859688
9,435571.4358583974,0.0,435571.4358583974,435571.4358583974,8533.265363166758
10,521330.18324899324,0.0,521330.18324899324,521330.18324899324,10067.875270110177
11,666198.5867097663,0.0,666198.5867097663,666198.5867097663,12593.560050355842
12,812750.4202571056,0.0,812750.4202571056,812750.4202571056,15073.69964851179
13,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15126.043670431041
14,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15126.023233943439
15,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15126.000440518415
16,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15125.977647087764
17,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15125.9548536515
18,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15125.93206020962
19,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15125.909266762112
20,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15125.88647330899
21,815888.6268373778,0.0,815888.6268373778,815888.6268373778,15125.863679850241
22,732516.3314948463,0.0,732516.3314948463,732516.3314948463,13724.394116782212
23,637740.4338930583,0.0,637740.4338930583,637740.4338930583,12103.31376557037
24,572906.1417815431,0.0,572906.1417815431,572906.1417815431,10975.940371588627
25,612429.0148243251,0.0,612429.0148243251,612429.0148243251,11665.007213540122
26,497822.4595690349,0.0,497822.4595690349,497822.4595690349,9650.081486023291
27,432022.8116133161,0.0,432022.8116133161,432022.8116133161,8468.823527783876
28,413666.4703668209,0.0,413666.4703668209,413666.4703668209,8135.8206787324725
29,305574.8411741821,0.0,305574.8411741821,305574.8411741821,6141.236063474326
30,219728.7641505215,0.0,219728.7641505215,219728.7641505215,4509.948844662376
31,245761.9687530462,0.0,245761.9687530462,245761.9687530462,5009.638216978656
32,241517.92558221717,0.0,241517.92558221717,241517.92558221717,4928.482589409013
33,226841.21531549652,0.0,226841.21531549652,226841.21531549652,4646.912468804662
34,280180.9699318728,0.0,280180.9699318728,280180.9699318728,5663.438092166964
35,318936.326834407,0.0,318936.326834407,318936.326834407,6391.07247336059
36,332376.59052999626,0.0,332376.59052999626,332376.59052999626,6641.426066334828
37,246872.34037023998,0.0,246872.34037023998,246872.34037023998,5030.8016046784
38,180838.6500921154,0.0,180838.6500921154,180838.6500921154,3754.23394163989
39,179072.318499103,0.0,179072.318499103,179072.318499103,3719.6243824436806
40,198340.2962602489,0.0,198340.2962602489,198340.2962602489,4095.726031050269
41,256509.63537806406,0.0,256509.63537806406,256509.63537806406,5214.527477923857
42,308924.6535011551,0.0,308924.6535011551,308924.6535011551,6203.859769505194
43,272348.19806831045,0.0,272348.19806831045,272348.19806831045,5515.221118858655
44,316270.71796921344,0.0,316270.71796921344,316270.71796921344,6341.211903972799
45,149131.71251831148,0.0,149131.71251831148,149131.71251831148,3128.9045152371928
46,97511.85240918507,0.0,97511.85240918507,97511.85240918507,2088.9967723703403
47,125422.83043530524,0.0,125422.83043530524,125422.83043530524,2655.054636308899
48,118184.81159480757,0.0,118184.81159480757,118184.81159480757,2509.1801421413866
49,122266.18907185865,0.0,122266.18907185865,122266.18907185865,2591.503632422961
50,140132.35710338654,0.0,140132.35710338654,140132.35710338654,2949.7043754297274
51,86989.64627344534,0.0,86989.64627344534,86989.64627344534,1865.4580297282876
52,104493.93234896766,0.0,104493.93234896766,104493.93234896766,2199.163402536695
53,119660.90523532325,0.0,119660.90523532325,119660.90523532325,2538.9401879061693
54,148038.64100772727,0.0,148038.64100772727,148038.64100772727,3107.1194000037385
55,259377.32609852258,0.0,259377.32609852258,259377.32609852258,5268.944857992564
56,318244.17419372645,0.0,318244.17419372645,318244.17419372645,6377.9104072573955
