,0
Useful Life,30.0
Wind Cost ($/kW),1188.0
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),326.19104000000004
Wind capacity (MW),1284.2766848153951
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1160.0
Total Electricity Production (kWh),4507480558.937877
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity (kg-CO2/kg-H2),0.0
H2 PTC ($/kg),0.0
Ren PTC ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2586598911.0130086
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),39.30979945377861
Electricity CF (-),0.44357980622519255
LCOH ($/kg),8.158488320247468
Electrolyzer CF (-),0.45301594114587823
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),28674.0
Number of stack clusters (-),29.0
Hydrogen storage duration (hr),346.1178171542282
Hydrogen storage capacity (kg),9147581.388562068
Hydrogen storage CAPEX ($/kg),525.143508539214
Hydrogen annual production (kg),84286170.59402634
Hydrogen production total CAPEX ($),6755039325.474667
Hydrogen transmission total CAPEX ($),64013972.172464415
Steel Plant Total CAPEX ($),545209215.1819539
Ammonia Plant Total CAPEX ($),69329152.27623674
LCOH: Compression & storage ($/kg),4.4164930737423145
LCOH: Electrolyzer CAPEX ($/kg),0.8098792914537769
LCOH: Desalination CAPEX ($/kg),0.001734190357229288
LCOH: Electrolyzer FOM ($/kg),0.1761450246871955
LCOH:Desalination FOM ($/kg),0.0033242614110875765
LCOH: Electrolyzer VOM ($/kg),0.0674844539490059
LCOH: Wind Plant CAPEX ($/kg),1.3896244739312573
LCOH: Wind Plant FOM ($/kg),0.5657058216520072
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.5569311597867437
LCOH: Water consumption ($/kg),0.016147757255936673
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.15722731272141452
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),27.78376378718367
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),27.783763787183652
Steel Price with Integration ($/tonne),1177.8970204921172
Steel price: EAF and Casting CAPEX ($/tonne),7.352712809137524
Steel price: Shaft Furnace CAPEX ($/tonne),4.147456600030857
Steel price: Oxygen Supply CAPEX ($/tonne),0.5024690500428983
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2858154172179284
Steel price: Cooling Tower CAPEX ($/tonne),0.618708489847107
Steel price: Piping CAPEX ($/tonne),1.826797708972273
Steel price: Electrical & Instrumentation ($/tonne),1.217865140345564
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.753847764430413
Steel price: Miscellaneous CAPEX ($/tonne),1.2178656258124945
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),5.158204145051215
Steel price: Administrative & Support Labor Cost ($/tonne),20.08952721698854
Steel price: Installation Cost ($/tonne),7.3860703185982235
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.089314915012542
Steel price: Carbon ($/tonne),11.722256166785751
Steel price: Iron Ore ($/tonne),360.92245014899083
Steel price: Hydrogen ($/tonne),538.133889603523
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),48.657948905832
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),14.88152784637476
Steel price: Equipment Financing ($/tonne),57.39789704853858
Steel price: Remaining Financial ($/tonne),11.954123163502235
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1190.989887876596
(-) Steel price: BOS savings ($/tonne),6.026858165096562
Ammonia price: Air Separation by Cryogenic ($/kg),0.0019678455863622363
Ammonia price: Haber Bosch ($/kg),0.0016300537053258407
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006180945270194874
Ammonia price: Cooling Tower ($/kg),0.0004196233260347037
Ammonia price: Depreciable Nonequipment ($/kg),0.0022764307718301274
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006098158976460083
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),1.609542497642494
Ammonia price: Electricity ($/kg),0.04692858800621012
Ammonia price: Cooling water ($/kg),5.580990977316858e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.005789668021883328
Ammonia price: Equipment Financing ($/kg),0.022258051635184538
Ammonia price: Remaining Financial ($/kg),0.004147228749943435
Ammonia price: Total ($/kg),1.7278910617974343
