,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,9.886012969602836e-05
16,Operating Expenses,Desalination,0.0007529315902796581
17,Operating Expenses,Desalination Fixed O&M Cost,0.0033242614110875765
18,Operating Expenses,Water,0.016147757255936673
19,Operating Expenses,Compression,0.017889729069793293
20,Operating Expenses,Cash on hand reserve,0.018920348615399287
21,Operating Expenses,Var O&M,0.0674844539490059
22,Operating Expenses,Property insurance,0.09643855927992882
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.1761450246871955
24,Operating Expenses,Electrolysis system,0.35162443402297827
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5657058216520072
26,Operating Expenses,Wind Plant,0.6033317857448206
27,Financing cash outflow,Income taxes payable,0.9630590310491945
28,Financing cash outflow,Repayment of debt,1.5489138064098449
29,Operating Expenses,Hydrogen Storage,1.899614390134714
30,Financing cash outflow,Interest expense,2.4994822094035665
31,Financing cash outflow,Dividends paid,3.952539744691289
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,9.886012969602836e-05
37,Operating Revenue,Cash on hand recovery,0.018920348615399284
38,Financing cash inflow,Monetized tax losses,0.5025664305423797
39,Financing cash inflow,Inflow of debt,1.5489138064098449
40,Financing cash inflow,Inflow of equity,2.707504195172864
41,Operating Revenue,Hydrogen sales,8.001261007526054
