,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00010020456258993562
16,Operating Expenses,Desalination,0.0006052735246392022
17,Operating Expenses,Desalination Fixed O&M Cost,0.0026723376294567804
18,Operating Expenses,Cash on hand reserve,0.004851217041244693
19,Operating Expenses,Water,0.014063324538258565
20,Operating Expenses,Compression,0.01438135882290756
21,Operating Expenses,Property insurance,0.026045433228938618
22,Operating Expenses,Hydrogen Storage,0.06190748378707221
23,Operating Expenses,Var O&M,0.06896332964749304
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.14160107148708984
25,Financing cash outflow,Income taxes payable,0.22725699422755916
26,Operating Expenses,Electrolysis system,0.28266706202525316
27,Financing cash outflow,Repayment of debt,0.35530146037128885
28,Operating Expenses,Wind Plant,0.41548810984912754
29,Operating Expenses,Wind Plant Fixed O&M Cost,0.4510888805246212
30,Financing cash outflow,Interest expense,0.5733499666011489
31,Financing cash outflow,Dividends paid,0.9236561956083158
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00010020456258993562
37,Operating Revenue,Cash on hand recovery,0.004851217041244694
38,Financing cash inflow,Monetized tax losses,0.11284133382314034
39,Financing cash inflow,Inflow of debt,0.35530146037128885
40,Financing cash inflow,Inflow of equity,0.6143101508111835
41,Operating Revenue,Hydrogen sales,2.4748199471503267
